Date,NE,RSSI_PUCCH(EUCell_Eric)(CRA),Site,Anomaly,Latitude,Longitude,TowerHeight,AntennaHeight,Azimuth,MTilt,ETilt
2025-09-01 00:00:00,KJ0002A,-109.00657169397753,KJ0002,False,35.82944987883623,50.98081316968394,45,26.5,0,0,4
2025-09-01 00:00:00,KJ0002B,-110.27652860234237,KJ0002,False,35.82372665505707,50.97083949831636,45,26.5,120,0,4
2025-09-01 00:00:00,KJ0002C,-109.44191741559972,KJ0002,False,35.82897145155592,50.969251689885915,45,26.5,240,0,2
2025-09-01 00:00:00,KJ0003A,-107.97896943038695,KJ0003,False,35.829249975445336,50.98761105418031,45,26.5,0,0,2
2025-09-01 00:00:00,KJ0003B,-110.92683538562493,KJ0003,False,35.82089484485919,50.97933512863264,45,26.5,120,0,Unavailable Ret
2025-09-01 00:00:00,KJ0003C,-110.93145950714052,KJ0003,False,35.81527124850083,50.97933549320516,45,26.5,240,0,4
2025-09-01 01:00:00,KJ0002A,-109.56199690283987,KJ0002,False,35.82213723686587,50.97796139968434,45,26.5,0,0,4
2025-09-01 01:00:00,KJ0002B,-110.19071844872573,KJ0002,False,35.82717772018666,50.97648923982534,45,26.5,120,0,Unavailable Ret
2025-09-01 01:00:00,KJ0002C,-109.79467022353776,KJ0002,False,35.82696089703803,50.97225048247375,45,26.5,240,0,4
2025-09-01 01:00:00,KJ0003A,-108.48405959506766,KJ0003,False,35.815075299223196,50.987684035113695,45,26.5,0,0,2
2025-09-01 01:00:00,KJ0003B,-109.90641247469922,KJ0003,False,35.81676344228013,50.98252466053024,45,26.5,120,0,4
2025-09-01 01:00:00,KJ0003C,-106.81102513239412,KJ0003,False,35.82847527037651,50.98103993315565,45,26.5,240,0,Unavailable Ret
2025-09-01 02:00:00,KJ0002A,-105.85491017579362,KJ0002,False,35.82104422152179,50.97924136042356,45,26.5,0,0,2
2025-09-01 02:00:00,KJ0002B,-109.94168729994205,KJ0002,False,35.8261640065564,50.96946626584911,45,26.5,120,0,2
2025-09-01 02:00:00,KJ0002C,-107.06272336789227,KJ0002,False,35.833247484700465,50.970609850041036,45,26.5,240,0,4
2025-09-01 02:00:00,KJ0003A,-105.73647792210278,KJ0003,False,35.82522668520052,50.98806344048698,45,26.5,0,0,0
2025-09-01 02:00:00,KJ0003B,-110.45704398073485,KJ0003,False,35.83138475018304,50.97597506653387,45,26.5,120,0,Unavailable Ret
